
 check frequency: 0, call frequency: 1, raise frequency: 0, fold frequency: 0
 check frequency: 0, call frequency: 0.5, raise frequency: 0.5, fold frequency: 0
 check frequency: 0.3333333333333333, call frequency: 0.3333333333333333, raise frequency: 0.3333333333333333, fold frequency: 0
 check frequency: 0.25, call frequency: 0.5, raise frequency: 0.25, fold frequency: 0
 check frequency: 0.2, call frequency: 0.6, raise frequency: 0.2, fold frequency: 0
 check frequency: 0.16666666666666666, call frequency: 0.6666666666666666, raise frequency: 0.16666666666666666, fold frequency: 0
 check frequency: 0.14285714285714285, call frequency: 0.5714285714285714, raise frequency: 0.14285714285714285, fold frequency: 0.14285714285714285
 check frequency: 0.125, call frequency: 0.5, raise frequency: 0.125, fold frequency: 0.25
 check frequency: 0.1111111111111111, call frequency: 0.4444444444444444, raise frequency: 0.1111111111111111, fold frequency: 0.3333333333333333
 check frequency: 0.1, call frequency: 0.5, raise frequency: 0.1, fold frequency: 0.3
 check frequency: 0.09090909090909091, call frequency: 0.5454545454545454, raise frequency: 0.09090909090909091, fold frequency: 0.2727272727272727
 check frequency: 0.08333333333333333, call frequency: 0.5833333333333334, raise frequency: 0.08333333333333333, fold frequency: 0.25
 check frequency: 0.07692307692307693, call frequency: 0.6153846153846154, raise frequency: 0.07692307692307693, fold frequency: 0.23076923076923078
 check frequency: 0.07142857142857142, call frequency: 0.6428571428571429, raise frequency: 0.07142857142857142, fold frequency: 0.21428571428571427
 check frequency: 0.06666666666666667, call frequency: 0.6666666666666666, raise frequency: 0.06666666666666667, fold frequency: 0.2
 check frequency: 0.0625, call frequency: 0.6875, raise frequency: 0.0625, fold frequency: 0.1875
 check frequency: 0.058823529411764705, call frequency: 0.7058823529411765, raise frequency: 0.058823529411764705, fold frequency: 0.17647058823529413
 check frequency: 0.05555555555555555, call frequency: 0.7222222222222222, raise frequency: 0.05555555555555555, fold frequency: 0.16666666666666666
 check frequency: 0.05263157894736842, call frequency: 0.7368421052631579, raise frequency: 0.05263157894736842, fold frequency: 0.15789473684210525
 check frequency: 0.05, call frequency: 0.75, raise frequency: 0.05, fold frequency: 0.15
 check frequency: 0.047619047619047616, call frequency: 0.7619047619047619, raise frequency: 0.047619047619047616, fold frequency: 0.14285714285714285
 check frequency: 0.045454545454545456, call frequency: 0.7272727272727273, raise frequency: 0.09090909090909091, fold frequency: 0.13636363636363635
 check frequency: 0.043478260869565216, call frequency: 0.6956521739130435, raise frequency: 0.08695652173913043, fold frequency: 0.17391304347826086
 check frequency: 0.08333333333333333, call frequency: 0.6666666666666666, raise frequency: 0.08333333333333333, fold frequency: 0.16666666666666666
 check frequency: 0.08, call frequency: 0.64, raise frequency: 0.12, fold frequency: 0.16
 check frequency: 0.07692307692307693, call frequency: 0.6538461538461539, raise frequency: 0.11538461538461539, fold frequency: 0.15384615384615385
 check frequency: 0.07407407407407407, call frequency: 0.6296296296296297, raise frequency: 0.1111111111111111, fold frequency: 0.18518518518518517
 check frequency: 0.07142857142857142, call frequency: 0.6071428571428571, raise frequency: 0.10714285714285714, fold frequency: 0.21428571428571427
 check frequency: 0.06896551724137931, call frequency: 0.5862068965517241, raise frequency: 0.10344827586206896, fold frequency: 0.2413793103448276
 check frequency: 0.1, call frequency: 0.5666666666666667, raise frequency: 0.1, fold frequency: 0.23333333333333334
 check frequency: 0.0967741935483871, call frequency: 0.5483870967741935, raise frequency: 0.12903225806451613, fold frequency: 0.22580645161290322
 check frequency: 0.09375, call frequency: 0.53125, raise frequency: 0.15625, fold frequency: 0.21875
 check frequency: 0.09090909090909091, call frequency: 0.5454545454545454, raise frequency: 0.15151515151515152, fold frequency: 0.21212121212121213
 check frequency: 0.08823529411764706, call frequency: 0.5294117647058824, raise frequency: 0.14705882352941177, fold frequency: 0.23529411764705882
 check frequency: 0.11428571428571428, call frequency: 0.5142857142857142, raise frequency: 0.14285714285714285, fold frequency: 0.22857142857142856
 check frequency: 0.1388888888888889, call frequency: 0.5, raise frequency: 0.1388888888888889, fold frequency: 0.2222222222222222
 check frequency: 0.16216216216216217, call frequency: 0.4864864864864865, raise frequency: 0.13513513513513514, fold frequency: 0.21621621621621623
 check frequency: 0.18421052631578946, call frequency: 0.47368421052631576, raise frequency: 0.13157894736842105, fold frequency: 0.21052631578947367
 check frequency: 0.1794871794871795, call frequency: 0.48717948717948717, raise frequency: 0.1282051282051282, fold frequency: 0.20512820512820512
 check frequency: 0.175, call frequency: 0.5, raise frequency: 0.125, fold frequency: 0.2
 check frequency: 0.17073170731707318, call frequency: 0.5121951219512195, raise frequency: 0.12195121951219512, fold frequency: 0.1951219512195122
 check frequency: 0.16666666666666666, call frequency: 0.5, raise frequency: 0.11904761904761904, fold frequency: 0.21428571428571427
 check frequency: 0.16279069767441862, call frequency: 0.4883720930232558, raise frequency: 0.11627906976744186, fold frequency: 0.23255813953488372
 check frequency: 0.1590909090909091, call frequency: 0.5, raise frequency: 0.11363636363636363, fold frequency: 0.22727272727272727
 check frequency: 0.15555555555555556, call frequency: 0.5111111111111111, raise frequency: 0.1111111111111111, fold frequency: 0.2222222222222222
 check frequency: 0.15217391304347827, call frequency: 0.5217391304347826, raise frequency: 0.10869565217391304, fold frequency: 0.21739130434782608
 check frequency: 0.14893617021276595, call frequency: 0.5319148936170213, raise frequency: 0.10638297872340426, fold frequency: 0.2127659574468085
 check frequency: 0.14583333333333334, call frequency: 0.5416666666666666, raise frequency: 0.10416666666666667, fold frequency: 0.20833333333333334
 check frequency: 0.14285714285714285, call frequency: 0.5510204081632653, raise frequency: 0.10204081632653061, fold frequency: 0.20408163265306123
 check frequency: 0.14, call frequency: 0.54, raise frequency: 0.1, fold frequency: 0.22
 check frequency: 0.1568627450980392, call frequency: 0.5294117647058824, raise frequency: 0.09803921568627451, fold frequency: 0.21568627450980393
 check frequency: 0.17307692307692307, call frequency: 0.5192307692307693, raise frequency: 0.09615384615384616, fold frequency: 0.21153846153846154
 check frequency: 0.16981132075471697, call frequency: 0.5094339622641509, raise frequency: 0.11320754716981132, fold frequency: 0.20754716981132076
 check frequency: 0.16666666666666666, call frequency: 0.5, raise frequency: 0.1111111111111111, fold frequency: 0.2222222222222222
 check frequency: 0.16363636363636364, call frequency: 0.4909090909090909, raise frequency: 0.12727272727272726, fold frequency: 0.21818181818181817
 check frequency: 0.16071428571428573, call frequency: 0.5, raise frequency: 0.125, fold frequency: 0.21428571428571427
 check frequency: 0.15789473684210525, call frequency: 0.5087719298245614, raise frequency: 0.12280701754385964, fold frequency: 0.21052631578947367
 check frequency: 0.15517241379310345, call frequency: 0.5172413793103449, raise frequency: 0.1206896551724138, fold frequency: 0.20689655172413793
 check frequency: 0.15254237288135594, call frequency: 0.5084745762711864, raise frequency: 0.11864406779661017, fold frequency: 0.22033898305084745
 check frequency: 0.15, call frequency: 0.5, raise frequency: 0.11666666666666667, fold frequency: 0.23333333333333334
 check frequency: 0.14754098360655737, call frequency: 0.4918032786885246, raise frequency: 0.11475409836065574, fold frequency: 0.2459016393442623
 check frequency: 0.16129032258064516, call frequency: 0.4838709677419355, raise frequency: 0.11290322580645161, fold frequency: 0.24193548387096775
 check frequency: 0.15873015873015872, call frequency: 0.49206349206349204, raise frequency: 0.1111111111111111, fold frequency: 0.23809523809523808
 check frequency: 0.15625, call frequency: 0.484375, raise frequency: 0.125, fold frequency: 0.234375
 check frequency: 0.15384615384615385, call frequency: 0.47692307692307695, raise frequency: 0.13846153846153847, fold frequency: 0.23076923076923078
 check frequency: 0.15151515151515152, call frequency: 0.4696969696969697, raise frequency: 0.13636363636363635, fold frequency: 0.24242424242424243
 check frequency: 0.16417910447761194, call frequency: 0.4626865671641791, raise frequency: 0.13432835820895522, fold frequency: 0.23880597014925373
 check frequency: 0.16176470588235295, call frequency: 0.47058823529411764, raise frequency: 0.1323529411764706, fold frequency: 0.23529411764705882
 check frequency: 0.15942028985507245, call frequency: 0.463768115942029, raise frequency: 0.13043478260869565, fold frequency: 0.2463768115942029
 check frequency: 0.15714285714285714, call frequency: 0.45714285714285713, raise frequency: 0.12857142857142856, fold frequency: 0.2571428571428571
 check frequency: 0.16901408450704225, call frequency: 0.4507042253521127, raise frequency: 0.1267605633802817, fold frequency: 0.2535211267605634
 check frequency: 0.16666666666666666, call frequency: 0.4444444444444444, raise frequency: 0.1388888888888889, fold frequency: 0.25
 check frequency: 0.1643835616438356, call frequency: 0.4383561643835616, raise frequency: 0.1506849315068493, fold frequency: 0.2465753424657534
 check frequency: 0.16216216216216217, call frequency: 0.43243243243243246, raise frequency: 0.16216216216216217, fold frequency: 0.24324324324324326
 check frequency: 0.16, call frequency: 0.44, raise frequency: 0.16, fold frequency: 0.24
 check frequency: 0.15789473684210525, call frequency: 0.4342105263157895, raise frequency: 0.15789473684210525, fold frequency: 0.25
 check frequency: 0.16883116883116883, call frequency: 0.42857142857142855, raise frequency: 0.15584415584415584, fold frequency: 0.24675324675324675
 check frequency: 0.1794871794871795, call frequency: 0.4230769230769231, raise frequency: 0.15384615384615385, fold frequency: 0.24358974358974358
 check frequency: 0.17721518987341772, call frequency: 0.43037974683544306, raise frequency: 0.1518987341772152, fold frequency: 0.24050632911392406
 check frequency: 0.175, call frequency: 0.425, raise frequency: 0.1625, fold frequency: 0.2375
 check frequency: 0.1728395061728395, call frequency: 0.41975308641975306, raise frequency: 0.16049382716049382, fold frequency: 0.24691358024691357
 check frequency: 0.17073170731707318, call frequency: 0.4146341463414634, raise frequency: 0.15853658536585366, fold frequency: 0.25609756097560976
 check frequency: 0.1686746987951807, call frequency: 0.42168674698795183, raise frequency: 0.1566265060240964, fold frequency: 0.25301204819277107
 check frequency: 0.16666666666666666, call frequency: 0.4166666666666667, raise frequency: 0.15476190476190477, fold frequency: 0.2619047619047619
 check frequency: 0.16470588235294117, call frequency: 0.4117647058823529, raise frequency: 0.15294117647058825, fold frequency: 0.27058823529411763
 check frequency: 0.16279069767441862, call frequency: 0.4069767441860465, raise frequency: 0.16279069767441862, fold frequency: 0.26744186046511625
 check frequency: 0.16091954022988506, call frequency: 0.40229885057471265, raise frequency: 0.1724137931034483, fold frequency: 0.26436781609195403
 check frequency: 0.1590909090909091, call frequency: 0.4090909090909091, raise frequency: 0.17045454545454544, fold frequency: 0.26136363636363635
 check frequency: 0.15730337078651685, call frequency: 0.4157303370786517, raise frequency: 0.16853932584269662, fold frequency: 0.25842696629213485
 check frequency: 0.15555555555555556, call frequency: 0.4111111111111111, raise frequency: 0.17777777777777778, fold frequency: 0.25555555555555554
 check frequency: 0.15384615384615385, call frequency: 0.4065934065934066, raise frequency: 0.18681318681318682, fold frequency: 0.25274725274725274
 check frequency: 0.15217391304347827, call frequency: 0.41304347826086957, raise frequency: 0.18478260869565216, fold frequency: 0.25
 check frequency: 0.15053763440860216, call frequency: 0.41935483870967744, raise frequency: 0.1827956989247312, fold frequency: 0.24731182795698925
 check frequency: 0.14893617021276595, call frequency: 0.4148936170212766, raise frequency: 0.18085106382978725, fold frequency: 0.2553191489361702
 check frequency: 0.14736842105263157, call frequency: 0.4105263157894737, raise frequency: 0.17894736842105263, fold frequency: 0.2631578947368421
 check frequency: 0.14583333333333334, call frequency: 0.4166666666666667, raise frequency: 0.17708333333333334, fold frequency: 0.2604166666666667
 check frequency: 0.15463917525773196, call frequency: 0.41237113402061853, raise frequency: 0.17525773195876287, fold frequency: 0.25773195876288657
 check frequency: 0.16326530612244897, call frequency: 0.40816326530612246, raise frequency: 0.17346938775510204, fold frequency: 0.25510204081632654
 check frequency: 0.1717171717171717, call frequency: 0.40404040404040403, raise frequency: 0.1717171717171717, fold frequency: 0.25252525252525254
 check frequency: 0.17, call frequency: 0.4, raise frequency: 0.17, fold frequency: 0.26
 check frequency: 0.16831683168316833, call frequency: 0.39603960396039606, raise frequency: 0.16831683168316833, fold frequency: 0.26732673267326734
 check frequency: 0.16666666666666666, call frequency: 0.39215686274509803, raise frequency: 0.16666666666666666, fold frequency: 0.27450980392156865
 check frequency: 0.17475728155339806, call frequency: 0.3883495145631068, raise frequency: 0.1650485436893204, fold frequency: 0.27184466019417475
 check frequency: 0.17307692307692307, call frequency: 0.38461538461538464, raise frequency: 0.16346153846153846, fold frequency: 0.27884615384615385
 check frequency: 0.17142857142857143, call frequency: 0.3904761904761905, raise frequency: 0.1619047619047619, fold frequency: 0.2761904761904762
 check frequency: 0.16981132075471697, call frequency: 0.3867924528301887, raise frequency: 0.16037735849056603, fold frequency: 0.2830188679245283
 check frequency: 0.17757009345794392, call frequency: 0.38317757009345793, raise frequency: 0.1588785046728972, fold frequency: 0.2803738317757009
 check frequency: 0.18518518518518517, call frequency: 0.37962962962962965, raise frequency: 0.1574074074074074, fold frequency: 0.2777777777777778
 check frequency: 0.1926605504587156, call frequency: 0.3761467889908257, raise frequency: 0.1559633027522936, fold frequency: 0.27522935779816515
 check frequency: 0.2, call frequency: 0.37272727272727274, raise frequency: 0.15454545454545454, fold frequency: 0.2727272727272727
 check frequency: 0.1981981981981982, call frequency: 0.3783783783783784, raise frequency: 0.15315315315315314, fold frequency: 0.2702702702702703
 check frequency: 0.19642857142857142, call frequency: 0.38392857142857145, raise frequency: 0.15178571428571427, fold frequency: 0.26785714285714285
 check frequency: 0.19469026548672566, call frequency: 0.3805309734513274, raise frequency: 0.1592920353982301, fold frequency: 0.26548672566371684
 check frequency: 0.19298245614035087, call frequency: 0.38596491228070173, raise frequency: 0.15789473684210525, fold frequency: 0.2631578947368421
