
 check frequency: 0, call frequency: 1, raise frequency: 0, fold frequency: 0
 check frequency: 0, call frequency: 0.5, raise frequency: 0, fold frequency: 0.5
 check frequency: 0, call frequency: 0.3333333333333333, raise frequency: 0, fold frequency: 0.6666666666666666
 check frequency: 0, call frequency: 0.5, raise frequency: 0, fold frequency: 0.5
 check frequency: 0, call frequency: 0.4, raise frequency: 0, fold frequency: 0.6
 check frequency: 0, call frequency: 0.3333333333333333, raise frequency: 0, fold frequency: 0.6666666666666666
 check frequency: 0, call frequency: 0.42857142857142855, raise frequency: 0, fold frequency: 0.5714285714285714
 check frequency: 0, call frequency: 0.375, raise frequency: 0, fold frequency: 0.625
 check frequency: 0, call frequency: 0.3333333333333333, raise frequency: 0, fold frequency: 0.6666666666666666
 check frequency: 0, call frequency: 0.3, raise frequency: 0, fold frequency: 0.7
 check frequency: 0, call frequency: 0.36363636363636365, raise frequency: 0, fold frequency: 0.6363636363636364
 check frequency: 0, call frequency: 0.3333333333333333, raise frequency: 0.08333333333333333, fold frequency: 0.5833333333333334
 check frequency: 0, call frequency: 0.38461538461538464, raise frequency: 0.07692307692307693, fold frequency: 0.5384615384615384
 check frequency: 0, call frequency: 0.35714285714285715, raise frequency: 0.14285714285714285, fold frequency: 0.5
 check frequency: 0, call frequency: 0.3333333333333333, raise frequency: 0.2, fold frequency: 0.4666666666666667
 check frequency: 0, call frequency: 0.3125, raise frequency: 0.1875, fold frequency: 0.5
 check frequency: 0, call frequency: 0.29411764705882354, raise frequency: 0.17647058823529413, fold frequency: 0.5294117647058824
 check frequency: 0, call frequency: 0.2777777777777778, raise frequency: 0.16666666666666666, fold frequency: 0.5555555555555556
 check frequency: 0, call frequency: 0.3157894736842105, raise frequency: 0.15789473684210525, fold frequency: 0.5263157894736842
 check frequency: 0, call frequency: 0.3, raise frequency: 0.2, fold frequency: 0.5
 check frequency: 0, call frequency: 0.3333333333333333, raise frequency: 0.19047619047619047, fold frequency: 0.47619047619047616
 check frequency: 0, call frequency: 0.3181818181818182, raise frequency: 0.18181818181818182, fold frequency: 0.5
 check frequency: 0, call frequency: 0.34782608695652173, raise frequency: 0.17391304347826086, fold frequency: 0.4782608695652174
 check frequency: 0, call frequency: 0.3333333333333333, raise frequency: 0.20833333333333334, fold frequency: 0.4583333333333333
 check frequency: 0, call frequency: 0.32, raise frequency: 0.2, fold frequency: 0.48
 check frequency: 0, call frequency: 0.34615384615384615, raise frequency: 0.19230769230769232, fold frequency: 0.46153846153846156
 check frequency: 0, call frequency: 0.3333333333333333, raise frequency: 0.2222222222222222, fold frequency: 0.4444444444444444
 check frequency: 0, call frequency: 0.35714285714285715, raise frequency: 0.21428571428571427, fold frequency: 0.42857142857142855
 check frequency: 0, call frequency: 0.3448275862068966, raise frequency: 0.20689655172413793, fold frequency: 0.4482758620689655
 check frequency: 0, call frequency: 0.3333333333333333, raise frequency: 0.23333333333333334, fold frequency: 0.43333333333333335
 check frequency: 0, call frequency: 0.3225806451612903, raise frequency: 0.25806451612903225, fold frequency: 0.41935483870967744
 check frequency: 0, call frequency: 0.3125, raise frequency: 0.25, fold frequency: 0.4375
 check frequency: 0, call frequency: 0.3333333333333333, raise frequency: 0.24242424242424243, fold frequency: 0.42424242424242425
 check frequency: 0, call frequency: 0.3235294117647059, raise frequency: 0.2647058823529412, fold frequency: 0.4117647058823529
 check frequency: 0, call frequency: 0.3142857142857143, raise frequency: 0.2571428571428571, fold frequency: 0.42857142857142855
 check frequency: 0, call frequency: 0.3055555555555556, raise frequency: 0.25, fold frequency: 0.4444444444444444
 check frequency: 0, call frequency: 0.2972972972972973, raise frequency: 0.24324324324324326, fold frequency: 0.4594594594594595
 check frequency: 0, call frequency: 0.2894736842105263, raise frequency: 0.23684210526315788, fold frequency: 0.47368421052631576
 check frequency: 0, call frequency: 0.3076923076923077, raise frequency: 0.23076923076923078, fold frequency: 0.46153846153846156
 check frequency: 0, call frequency: 0.325, raise frequency: 0.225, fold frequency: 0.45
 check frequency: 0, call frequency: 0.34146341463414637, raise frequency: 0.21951219512195122, fold frequency: 0.43902439024390244
 check frequency: 0, call frequency: 0.3333333333333333, raise frequency: 0.23809523809523808, fold frequency: 0.42857142857142855
 check frequency: 0, call frequency: 0.32558139534883723, raise frequency: 0.23255813953488372, fold frequency: 0.4418604651162791
